name,freq
Aaron,28
Ab,16
Abba,27
Abbe,18
Abbey,24
Abbie,12
Abbot,23
Abbott,27
Abby,23
Abdel,6
Abdul,18
Abe,12
Abel,16
Abelard,18
Abeu,28
Abey,9
Abie,8
Abner,22
Abraham,20
Abrahan,20
Abram,15
Abramo,27
Abran,18
Ad,19
Adair,27
Adam,9
Adamo,11
Adams,20
Adan,28
Addie,16
Addison,31
Addy,28
Ade,25
Adelbert,12
Adham,20
Adlai,13
Adler,26
Ado,18
Adolf,23
Adolph,32
Adolphe,17
Adolpho,19
Adolphus,25
Adrian,22
Adriano,16
Adrien,20
Agosto,10
Aguie,24
Aguistin,24
Aguste,24
Agustin,31
Aharon,5
Ahmad,12
Ahmed,14
Ailbert,13
Akim,13
Aksel,20
Al,10
Alain,19
Alair,29
Alan,26
Aland,24
Alano,18
Alanson,18
Alard,38
Alaric,19
Alasdair,22
Alastair,19
Alasteir,20
Alaster,24
Alberik,20
Albert,17
Alberto,37
Albie,25
Albrecht,23
Alden,37
Aldin,18
Aldis,16
Aldo,12
Aldon,10
Aldous,19
Aldric,22
Aldrich,18
Aldridge,15
Aldus,27
Aldwin,9
Alec,15
Alejandro,27
Alejoa,33
Aleksandr,23
Alessandro,34
Alex,23
Alexander,34
Alexandr,21
Alexandre,25
Alexandro,22
Alexandros,17
Alexei,16
Alexio,25
Alexis,26
Alf,28
Alfie,6
Alfons,37
Alfonse,28
Alfonso,18
Alford,25
Alfred,25
Alfredo,20
Alfy,17
Algernon,25
Ali,22
Alic,29
Alick,14
Alisander,18
Alistair,10
Alister,23
Alix,18
Allan,18
Allard,13
Allayne,32
Allen,20
Alley,16
Alleyn,27
Allie,25
Allin,30
Allister,25
Allistir,33
Allyn,22
Aloin,24
Alon,32
Alonso,13
Alonzo,11
Aloysius,22
Alphard,24
Alphonse,21
Alphonso,24
Alric,27
Aluin,18
Aluino,12
Alva,15
Alvan,17
Alvie,19
Alvin,18
Alvis,18
Alvy,29
Alwin,21
Alwyn,25
Alyosha,15
Amble,13
Ambros,18
Ambrose,20
Ambrosi,29
Ambrosio,11
Ambrosius,12
Amby,16
Amerigo,14
Amery,21
Amory,23
Amos,37
Anatol,32
Anatole,29
Anatollo,26
Ancell,15
Anders,32
Anderson,26
Andie,19
Andonis,24
Andras,35
Andre,25
Andrea,32
Andreas,29
Andrej,21
Andres,20
Andrew,30
Andrey,31
Andris,12
Andros,16
Andrus,29
Andy,15
Ange,22
Angel,20
Angeli,16
Angelico,18
Angelo,15
Angie,14
Angus,26
Ansel,27
Ansell,21
Anselm,16
Anson,29
Anthony,30
Antin,29
Antoine,13
Anton,15
Antone,34
Antoni,39
Antonin,8
Antonino,22
Antonio,29
Antonius,14
Antons,16
Antony,17
Any,14
Ara,26
Araldo,24
Arch,22
Archaimbaud,32
Archambault,25
Archer,19
Archibald,23
Archibaldo,19
Archibold,30
Archie,14
Archy,19
Arel,25
Ari,13
Arie,18
Ariel,10
Arin,33
Ario,21
Aristotle,32
Arlan,29
Arlen,26
Arley,11
Arlin,17
Arman,23
Armand,25
Armando,23
Armin,16
Armstrong,16
Arnaldo,21
Arne,29
Arney,25
Arni,28
Arnie,30
Arnold,22
Arnoldo,24
Arnuad,25
Arny,17
Aron,15
Arri,14
Arron,16
Art,21
Artair,28
Arte,15
Artemas,20
Artemis,14
Artemus,23
Arther,16
Arthur,31
Artie,21
Artur,21
Arturo,18
Artus,38
Arty,2
Arv,21
Arvie,30
Arvin,18
Arvy,30
Asa,15
Ase,5
Ash,30
Ashbey,21
Ashby,22
Asher,17
Ashley,28
Ashlin,33
Ashton,30
Aube,21
Auberon,20
Aubert,26
Aubrey,25
Augie,25
August,15
Augustin,22
Augustine,30
Augusto,22
Augustus,13
Augy,29
Aurthur,23
Austen,21
Austin,11
Ave,20
Averell,39
Averil,24
Averill,14
Avery,15
Avictor,36
Avigdor,15
Avram,34
Avrom,34
Ax,17
Axe,26
Axel,25
Aylmar,30
Aylmer,19
Aymer,18
Bail,23
Bailey,23
Bailie,14
Baillie,17
Baily,24
Baird,27
Bald,22
Balduin,21
Baldwin,21
Bale,26
Ban,21
Bancroft,25
Bank,18
Banky,30
Bar,28
Barbabas,23
Barclay,9
Bard,19
Barde,25
Barn,28
Barnabas,22
Barnabe,26
Barnaby,22
Barnard,13
